Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Wang, Wenbo; Xing, Hao; ",A novel supramolecular polymer network based on a catenane-type crosslinker,Polymer Chemistry,9,16,2087-2091,2018,Royal Society of Chemistry
"Wang, Wenbo; Zhou, Zhixuan; Zhou, Jiong; Shi, Bingbing; Song, Bo; Li, Xiaopeng; Huang, Feihe; Stang, Peter J; ",Self-Assembled Amphiphilic Janus Double Metallacycle,Inorganic chemistry,58,11,7141-7145,2019,American Chemical Society
"Xing, Hao; Li, Zhandong; Wang, Wenbo; Liu, Peiren; Liu, Junkai; Song, Yu; Wu, Zi Liang; Zhang, Wenke; Huang, Feihe; ",Mechanochemistry of an interlocked poly [2] catenane: from single molecule to bulk gel,CCS Chemistry,2,1,513-523,2020,"Chinese Chemical Society Zhongguancun, Haidian, Beijing 100190, China"
"Sessler, Chanan D; Zhou, Yiming; Wang, Wenbo; Hartley, Nolan D; Fu, Zhanyan; Graykowski, David; Sheng, Morgan; Wang, Xiao; Liu, Jia; ",Optogenetic polymerization and assembly of electrically functional polymers for modulation of single-neuron excitability,Science Advances,8,49,eade1136,2022,American Association for the Advancement of Science
"Lee, Ariel J; Wang, Wenbo; Liu, Jia; ",Flexible and smart electronics for single-cell resolved brain–machine interfaces,Applied Physics Reviews,10,1,,2023,AIP Publishing
"Le Floch, Paul; Zhao, Siyuan; Liu, Ren; Molinari, Nicola; Medina, Eder; Shen, Hao; Wang, Zheliang; Kim, Junsoo; Sheng, Hao; Partarrieu, Sebastian; ",3D spatiotemporally scalable in vivo neural probes based on fluorinated elastomers,Nature nanotechnology,19,3,319-329,2024,Nature Publishing Group UK London
"Wang, Wenbo; Sessler, Chanan D; Wang, Xiao; Liu, Jia; ",In situ synthesis and assembly of functional materials and devices in living systems,Accounts of Chemical Research,57,15,2013-2026,2024,American Chemical Society
"Liu, Ren; Ren, Zhaolin; Zhang, Xinhe; Li, Qiang; Wang, Wenbo; Lin, Zuwan; Lee, Richard T; Ding, Jie; Li, Na; Liu, Jia; ",An AI-cyborg system for adaptive intelligent modulation of organoid maturation,bioRxiv,,,2024.12. 07.627355,2024,Cold Spring Harbor Laboratory
"Lin, Zuwan; Marin-Llobet, Arnau; Baek, Jongmin; He, Yichun; Lee, Jaeyong; Wang, Wenbo; Zhang, Xinhe; Lee, Ariel J; Liang, Ningyue; Du, Jin; ",Spike sorting AI agent,bioRxiv,,,,2025,
"Lin, Zuwan#; Wang, Wenbo#; Liu, Ren#; Li, Qiang#; Lee, Jaeyong; Hirschler, Charles; Liu, Jia; ",Cyborg organoids integrated with stretchable nanoelectronics can be functionally mapped during development,Nature Protocols,,,1-32,2025,Nature Publishing Group UK
"Lee, Jaeyong#; Wang, Wenbo#; Li, Qiang; Lin, Zuwan; Liu, Ren; Tang, Zefang; Aoyama, Junya; Lee, Richard T; Wang, Xiao; Liu, Jia; ",In Situ Graphene-Seq: Spatial Transcriptomics and Chronic Electrophysiological Characterization of Tissue Microenvironments,bioRxiv,,,2025.03. 25.645278,2025,Cold Spring Harbor Laboratory
"Lin, Zuwan#; Wang, Wenbo#; Marin-Llobet, Arnau; Li, Qiang; Pollock, Samuel D; Sui, Xin; Aljovic, Almir; Lee, Jaeyong; Baek, Jongmin; Liang, Ningyue; ",Spatial transcriptomics AI agent charts hPSC-pancreas maturation in vivo,bioRxiv,,,2025.04. 01.646731,2025,Cold Spring Harbor Laboratory
"Lin, Xinyi; Zhang, Xinhe; Wang, Zheliang; Chen, Juntao; Lee, Jaeyong; Lee, Ariel J; Yang, Hang; Remy, Antoine; Shen, Hao; He, Yichun; ",Plastic-elastomer heterostructure for robust flexible brain-computer interfaces,bioRxiv,,,2025.04. 29.651325,2025,Cold Spring Harbor Laboratory
"Aljović, Almir; Lin, Zuwan; Wang, Wenbo; Zhang, Xinhe; Marin-Llobet, Arnau; Liang, Ningyue; Canales, Bradley; Lee, Jaeyong; Baek, Jongmin; Liu, Ren; ",An autonomous AI agent for universal behavior analysis,bioRxiv,,,,2025,
"Sheng, Hao; Liu, Ren; Li, Qiang; Lin, Zuwan; He, Yichun; Blum, Thomas S; Zhao, Hao; Tang, Xin; Wang, Wenbo; Jin, Lishuai; ",Brain implantation of soft bioelectronics via embryonic development,Nature,642,8069,954-964,2025,Nature Publishing Group UK London
"Marin-Llobet, Arnau; Lin, Zuwan; Baek, Jongmin; Aljovic, Almir; Zhang, Xinhe; Lee, Ariel J; Wang, Wenbo; Lee, Jaeyong; Shen, Hao; He, Yichun; ",An AI Agent for cell-type specific brain computer interfaces,bioRxiv,,,2025.09. 11.675660,2025,Cold Spring Harbor Laboratory
"Jia Liu, Xiao Wang, Wenbo Wang; ",Compositions and methods for modulating neuronal excitability,,,,,2025,US Patent WO2025178665A2
"Lee, Jaeyong#; Lin, Zuwan#; Wang, Wenbo#; Baek, Jongmin#; Lee, Ariel J; Aljovic, Almir; Marin-Llobet, Arnau; Zhang, Xinhe; Liu, Ren; Li, Na; ",DeviceAgent: An autonomous multimodal AI agent for flexible bioelectronics,bioRxiv,,,2025.10. 10.681748,2025,Cold Spring Harbor Laboratory
"Wang, Wenbo; Swain, Simran; Lee, Jaeyong; Lin, Zuwan; Canales, Bradley; Aljović, Almir; Liu, Yaxuan; Li, Qiang; Marin-Llobet, Arnau; Liu, Mai; ",Agentic Lab: An Agentic-physical AI system for cell and organoid experimentation and manufacturing,bioRxiv,,,2025.11. 11.686354,2025,Cold Spring Harbor Laboratory
"Li, Qiang; Liu, Ren; Lin, Zuwan; Zhang, Xinhe; Wang, Wenbo; Galicia-Silva, Israeli M; Liu, Mai; Gao, Zihan; Pollock, Samuel D; Alvarez-Dominguez, Juan R; ",Implanted flexible electronics reveal principles of human islet cell electrical maturation,Science,391,6787,eaeb3295,2026,American Association for the Advancement of Science
"Sessler, Chanan D; Roy, Anish R; Nguyen, Khanh; Ren, Peizhe; Wang, Wenbo; Vaganov, Vasilii; Young, Benjamin J; Li, Brian; Udeshi, Namrata D; Carr, Steven A; ",PROx-Tag: p-phenylenediamine warheads enable photosensitized proximity labeling with high sensitivity and spatial resolution,,,,,2026,
"Sheng, Hao; Liu, Ren; Li, Qiang; Lin, Zuwan; He, Yichun; Blum, Thomas S; Zhao, Hao; Tang, Xin; Wang, Wenbo; Jin, Lishuai; ",Brain implantation of tissue-level-soft bioelectronics via embryonic development,bioRxiv,,,2024.05. 29.596533,2024,Cold Spring Harbor Laboratory
